"SERIES","Series","TIME","Time period","Value","Flag Codes","Flags"
"AUT-EXP-VAL-TOTAL","EXP-Total","2009-Q4","Q4-2009",113.1,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010","2010",111.56,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q1","Q1-2010",103.6,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q2","Q2-2010",107.59,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q3","Q3-2010",114.16,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2010-Q4","Q4-2010",120.89,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011","2011",104.7525,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q1","Q1-2011",104.41,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q2","Q2-2011",104.54,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q3","Q3-2011",105.13,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2011-Q4","Q4-2011",104.93,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2012","2012",105.28,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2012-Q1","Q1-2012",103.71,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2012-Q2","Q2-2012",105.09,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2012-Q3","Q3-2012",105.82,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2012-Q4","Q4-2012",106.5,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2013-Q1","Q1-2013",101.72,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2013-Q2","Q2-2013",103.6,,
"AUT-EXP-VAL-TOTAL","EXP-Total","2013-Q3","Q3-2013",101.74,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1996","1996",58.4993541821598,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1996-Q1","Q1-1996",58.2305895860242,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1996-Q2","Q2-1996",55.5846934648453,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1996-Q3","Q3-1996",57.2077185017026,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1996-Q4","Q4-1996",62.9744151760669,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1997","1997",70.0718880060537,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1997-Q1","Q1-1997",65.3384998760552,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1997-Q2","Q2-1997",68.7724242305635,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1997-Q3","Q3-1997",71.053009250199,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1997-Q4","Q4-1997",75.1236186673973,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1998","1998",78.5079650866961,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1998-Q1","Q1-1998",75.7603037300873,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1998-Q2","Q2-1998",77.8008271687085,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1998-Q3","Q3-1998",78.0774198598771,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1998-Q4","Q4-1998",82.3933095881117,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1999","1999",90.0322256578861,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1999-Q1","Q1-1999",85.3157984004592,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1999-Q2","Q2-1999",84.3085835062038,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1999-Q3","Q3-1999",88.160006262476,,
"AUT-EXP-VOL-TOTAL","EXP-Total","1999-Q4","Q4-1999",102.344514462406,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2000","2000",100,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2000-Q1","Q1-2000",102.1775151017,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2000-Q2","Q2-2000",102.641982073662,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2000-Q3","Q3-2000",95.5392905136535,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2000-Q4","Q4-2000",99.6412123109841,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2001","2001",108.3025,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2001-Q1","Q1-2001",112.45,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2001-Q2","Q2-2001",107.42,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2001-Q3","Q3-2001",108.56,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2001-Q4","Q4-2001",104.78,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2002","2002",115.1625,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2002-Q1","Q1-2002",114.59,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2002-Q2","Q2-2002",115.64,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2002-Q3","Q3-2002",115.77,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2002-Q4","Q4-2002",114.65,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2003","2003",121.075,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2003-Q1","Q1-2003",121.87,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2003-Q2","Q2-2003",115.07,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2003-Q3","Q3-2003",125.71,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2003-Q4","Q4-2003",121.65,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2004","2004",138.7125,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2004-Q1","Q1-2004",135,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2004-Q2","Q2-2004",136.79,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2004-Q3","Q3-2004",145.65,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2004-Q4","Q4-2004",137.41,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2005","2005",100,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2005-Q1","Q1-2005",137.53,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2005-Q2","Q2-2005",143.13,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2005-Q3","Q3-2005",144.79,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2005-Q4","Q4-2005",134.08,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2006","2006",109.195,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2006-Q1","Q1-2006",113.73,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2006-Q2","Q2-2006",110.68,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2006-Q3","Q3-2006",107.3,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2006-Q4","Q4-2006",105.07,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2007","2007",112.6875,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2007-Q1","Q1-2007",113.05,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2007-Q2","Q2-2007",123.52,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2007-Q3","Q3-2007",109,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2007-Q4","Q4-2007",105.18,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2008","2008",112.1475,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2008-Q1","Q1-2008",127.97,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2008-Q2","Q2-2008",117.49,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2008-Q3","Q3-2008",111.85,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2008-Q4","Q4-2008",91.28,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2009","2009",92.33,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2009-Q1","Q1-2009",100.36,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2009-Q2","Q2-2009",90.42,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2009-Q3","Q3-2009",91.69,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2009-Q4","Q4-2009",86.85,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2010","2010",103.02,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2010-Q1","Q1-2010",105.43,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2010-Q2","Q2-2010",105.89,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2010-Q3","Q3-2010",105.35,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2010-Q4","Q4-2010",95.41,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2011","2011",106.8125,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2011-Q1","Q1-2011",118.26,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2011-Q2","Q2-2011",107.09,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2011-Q3","Q3-2011",102.81,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2011-Q4","Q4-2011",99.09,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2012","2012",107.965,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2012-Q1","Q1-2012",122.77,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2012-Q2","Q2-2012",107,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2012-Q3","Q3-2012",103.93,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2012-Q4","Q4-2012",98.16,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2013-Q1","Q1-2013",122.19,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2013-Q2","Q2-2013",110.93,,
"AUT-EXP-VOL-TOTAL","EXP-Total","2013-Q3","Q3-2013",107.31,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1996","1996",115.782578227354,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1996-Q1","Q1-1996",116.535145181439,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1996-Q2","Q2-1996",111.343347247189,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1996-Q3","Q3-1996",116.486395905061,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1996-Q4","Q4-1996",118.765424575729,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1997","1997",111.401237012888,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1997-Q1","Q1-1997",107.845586667073,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1997-Q2","Q2-1997",105.432497486365,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1997-Q3","Q3-1997",115.523597696597,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1997-Q4","Q4-1997",116.803266201517,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1998","1998",105.69757167667,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1998-Q1","Q1-1998",101.605679290698,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1998-Q2","Q2-1998",98.6075987934554,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1998-Q3","Q3-1998",111.002102312544,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1998-Q4","Q4-1998",111.574906309984,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1999","1999",100.070077084793,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1999-Q1","Q1-1999",94.3785990676701,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1999-Q2","Q2-1999",90.7955272538923,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1999-Q3","Q3-1999",107.370281222388,,
"AUT-IMP-VAL-TOTAL","IMP-Total","1999-Q4","Q4-1999",107.735900795223,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2000","2000",100,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2000-Q1","Q1-2000",93.4279881783005,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2000-Q2","Q2-2000",88.4799366259407,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2000-Q3","Q3-2000",106.492794247585,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2000-Q4","Q4-2000",111.599280948173,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2001","2001",99.6575,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2001-Q1","Q1-2001",99.75,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2001-Q2","Q2-2001",100.1,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2001-Q3","Q3-2001",99.83,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2001-Q4","Q4-2001",98.95,,
"AUT-IMP-VAL-TOTAL","IMP-Total","2002","2002",98.4925,,
