year,RLP,RM,RX,LOGRLP,LOGRM,LOGRX,dif_LOGRLP,dif_LOGRM,dif_LOGRX
1961-01-01,49.68628325014383,110826556.93188974,268381294.89564684,3.905728904067294,18.523476987058768,19.407919269484402,0.026884416740617256,0.013280739821157628,0.0098534106495769
1962-01-01,53.506872150420236,110501185.2310638,321374480.5813113,3.9798100970625088,18.52053680493753,19.588117607310394,0.018967315657282047,-0.00015872733414412643,0.009284783975236577
1963-01-01,57.561584942350066,130621011.56438868,364208018.7268099,4.05285541712218,18.68781064673883,19.713235742387205,0.018353971239377875,0.009031803103930702,0.0063874506772469974
1964-01-01,63.503722029932845,148528999.19529697,416622088.65638834,4.151098518825487,18.81629077791863,19.8476901066443,0.024240465447708193,0.006875076680115111,0.006820512168278503
1965-01-01,66.11266176226172,159807912.8248335,486170317.39682317,4.1913602831618295,18.889483107122043,20.002069567791015,0.009699062586385976,0.003889838335688678,0.007778207958569094
1966-01-01,71.59190813379179,179747723.25259915,563441168.5722001,4.27098205268876,19.007064888296615,20.14957348239509,0.018996641698113992,0.0062247220057725094,0.00737443263579074
1967-01-01,78.05893654252897,222722678.83375797,650795150.0652635,4.3574641380692105,19.221437962847613,20.29370548101535,0.020248758789797927,0.011278599605507589,0.007153104195787963
1968-01-01,86.75235071417526,250361343.56038323,751052859.7829432,4.46305751602958,19.33841580652013,20.436986593114213,0.02423275891999843,0.0060858008593642765,0.007060372105671009
1969-01-01,96.87213580835801,286508704.34970057,848962583.2074683,4.573391921387225,19.473279475331903,20.559525671699575,0.024721708147691812,0.006973873669957165,0.005995946517215467
1970-01-01,96.20661401302019,350743208.8429357,917471316.8227144,4.566498108042397,19.67556491494311,20.637131875085757,-0.0015073742778504151,0.010387846580615978,0.0037747078714469584
1971-01-01,102.75721512254388,377580014.3814135,1070863754.4865935,4.632369071081767,19.749293062819557,20.79173140695519,0.014424830905625408,0.0037471934450254984,0.0074913283883248916
1972-01-01,128.068390229097,481068485.68298477,1151565171.3642924,4.852564419897728,19.991520199812005,20.864387872552946,0.047534068515948436,0.012265104184841391,0.0034944884663838938
1973-01-01,151.258017570571,651443276.7336631,1099832574.250023,5.018987104237086,20.29470088509586,20.818423799939094,0.03429582174261281,0.015165464269530915,-0.0022029916666914673
1974-01-01,139.38737946434762,618428317.4400964,1011702888.1189214,4.937256959538869,20.24269184565108,20.734900775890758,-0.01628419101320644,-0.0025626906126502424,-0.0040119763557018295
1975-01-01,141.08872601503407,556826620.0442961,1044308726.8491528,4.949388954993499,20.13776447482927,20.766620998064436,0.002457233956841387,-0.0051834692550709605,0.001529798599786858
1976-01-01,145.29371378805442,595014318.2625378,1226111247.9474578,4.978757305965557,20.20409602752715,20.9271134109208,0.005933732676723036,0.0032938885932838335,0.007728383585915211
1977-01-01,165.25958017078233,689340852.411529,1437918171.8576853,5.107517450853391,20.351246412618664,21.08646219049382,0.025861904281526904,0.0072831956891825644,0.007614465332321574
1978-01-01,218.7661748192821,960971980.6165714,1536219907.7004194,5.38800346453515,20.68345581002311,21.152590630499972,0.05491631039555123,0.016323786301288168,0.0031360613937394533
1979-01-01,219.04961813505219,1033690000.000003,1445314118.6964781,5.389298270980836,20.756400761505272,21.09159251806746,0.00024031284578951428,0.0035267293895255847,-0.002883718287657766
1980-01-01,215.6020871862307,874900406.3402772,1556550359.1371949,5.373434519814656,20.589620616518353,21.165737901410054,-0.0029435652599894002,-0.008035118752198533,0.0035153999528048097
1981-01-01,228.67117723341934,909523248.6721052,1744724686.9758182,5.4322850643738105,20.628431117632147,21.279862607646717,0.010952128353317159,0.0018849546495605107,0.005391954996714743
1982-01-01,206.757257315972,777066573.479937,1704192207.061766,5.331545435178781,20.471036584815945,21.256357056563825,-0.018544613914999286,-0.007629980773558143,-0.0011045912991207718
1983-01-01,220.10120240697958,812273864.1492417,1902911519.5834088,5.394087451520582,20.51534811238259,21.36665092895269,0.011730560510491594,0.002164596178754863,0.005188747634195634
1984-01-01,228.5060793075179,905579016.5466261,2181542187.964538,5.431562815264887,20.624085094370262,21.50329788931162,0.006947489094516035,0.005300274769505009,0.006395338268655237
1985-01-01,237.9841227778684,882395437.0210768,2330127953.974188,5.472203960428836,20.598150854789875,21.56918901888495,0.007482403600254983,-0.0012574734569663626,0.003064233677666728
1986-01-01,344.7856953235078,1382018550.9950266,2607310969.6092615,5.842923051048156,21.046810985497764,21.68158524733472,0.06774584670090911,0.021781573203866422,0.0052109621901574865
1987-01-01,416.3352419125372,1815760000.0,2748820000.0,6.031490805704456,21.31976994980149,21.734437565629953,0.0322728458014645,0.012969136487794186,0.0024376593174491035
1988-01-01,495.06849540108965,2451191986.651522,3005535748.6346445,6.204696127543471,21.61984026835194,21.823721674777893,0.02871683426512095,0.014074744673933104,0.004107955813364539
1989-01-01,474.21739575323045,2608745686.844031,3152860722.4334664,6.161665857381119,21.682135363012307,21.871576043502746,-0.006935113223568656,0.002881385518447077,0.002192768467174755
1990-01-01,465.51148658895545,2654040792.223572,3317142060.114383,6.143136772221391,21.699349142830084,21.92236942388522,-0.003007155140931861,0.0007939153376534946,0.0023223466055415365
1991-01-01,507.7804019969467,2902707750.9429054,3696292968.7939343,6.23004907458518,21.78890984552709,22.030596254033004,0.014147870312247735,0.0041273451156298435,0.00493682174837673
1992-01-01,538.6061047798504,3107054230.74212,4011334268.630603,6.2889845148469625,21.85694092157967,22.11238975824012,0.009459867740400751,0.0031222799366690257,0.0037127231266897986
